HatchData,,HatchData,,HatchData,
-3.30361602,10.77967558,-3.3 ,10.8 ,-3 ,11 
-3.268892332,10.80041402,-3.3 ,10.8 ,-3 ,11 
-3.234121946,10.82451151,-3.2 ,10.8 ,-3 ,11 
-3.199304321,10.85191731,-3.2 ,10.9 ,-3 ,11 
-3.164438109,10.88258174,-3.2 ,10.9 ,-3 ,11 
-3.129522769,10.91645513,-3.1 ,10.9 ,-3 ,11 
-3.094557221,10.95348675,-3.1 ,11.0 ,-3 ,11 
-3.059540385,10.99362908,-3.1 ,11.0 ,-3 ,11 
-3.024471993,11.03682922,-3.0 ,11.0 ,-3 ,11 
-2.989350423,11.08303965,-3.0 ,11.1 ,-3 ,11 
-2.954175407,11.13221071,-3.0 ,11.1 ,-3 ,11 
-2.918945594,11.18429057,-2.9 ,11.2 ,-3 ,11 
-2.883660175,11.23923065,-2.9 ,11.2 ,-3 ,11 
-2.830626368,11.32689421,-2.8 ,11.3 ,-3 ,11 
-2.759711635,11.45332451,-2.8 ,11.5 ,-3 ,11 
-2.688558821,11.59029842,-2.7 ,11.6 ,-3 ,12 
-2.617160907,11.73741642,-2.6 ,11.7 ,-3 ,12 
-2.545510336,11.89428117,-2.5 ,11.9 ,-3 ,12 
-2.473600358,12.06049426,-2.5 ,12.1 ,-2 ,12 
-2.401423687,12.2356551,-2.4 ,12.2 ,-2 ,12 
-2.328973168,12.41936742,-2.3 ,12.4 ,-2 ,12 
-2.256241648,12.61123066,-2.3 ,12.6 ,-2 ,13 
-2.183221975,12.81084746,-2.2 ,12.8 ,-2 ,13 
-2.109907129,13.0178194,-2.1 ,13.0 ,-2 ,13 
-2.036289824,13.23174699,-2.0 ,13.2 ,-2 ,13 
-1.962363039,13.4522318,-2.0 ,13.5 ,-2 ,13 
-1.888119623,13.67887541,-1.9 ,13.7 ,-2 ,14 
-1.813552421,13.91127831,-1.8 ,13.9 ,-2 ,14 
-1.701078748,14.26981244,-1.7 ,14.3 ,-2 ,14 
-1.549913907,14.76429796,-1.5 ,14.8 ,-2 ,15 
-1.397325302,15.27464801,-1.4 ,15.3 ,-1 ,15 
-1.24325591,15.79767737,-1.2 ,15.8 ,-1 ,16 
-1.009250275,16.59901234,-1.0 ,16.6 ,-1 ,17 
-0.771591361,17.41093302,-0.8 ,17.4 ,-1 ,17 
-0.611027373,17.95277997,-0.6 ,18.0 ,-1 ,18 
-0.448696957,18.49135965,-0.4 ,18.5 ,0 ,18 
-0.28454299,19.02348253,-0.3 ,19.0 ,0 ,19 
-0.160196455,19.41641912,-0.2 ,19.4 ,0 ,19 
-0.076699161,19.6747,-0.1 ,19.7 ,0 ,20 
0.00728615,19.92957108,0.0 ,19.9 ,0 ,20 
0.091766621,20.18063717,0.1 ,20.2 ,0 ,20 
0.176749386,20.42749663,0.2 ,20.4 ,0 ,20 
0.262241567,20.66975427,0.3 ,20.7 ,0 ,21 
0.348250332,20.90700841,0.3 ,20.9 ,0 ,21 
0.434782802,21.13886173,0.4 ,21.1 ,0 ,21 
0.521846096,21.36491689,0.5 ,21.4 ,1 ,21 
0.609447435,21.58477221,0.6 ,21.6 ,1 ,22 
0.697593904,21.79803252,0.7 ,21.8 ,1 ,22 
0.786292589,22.00429616,0.8 ,22.0 ,1 ,22 
0.875550711,22.20316795,0.9 ,22.2 ,1 ,22 
0.965375356,22.39424621,1.0 ,22.4 ,1 ,22 
1.055773744,22.57713362,1.1 ,22.6 ,1 ,23 
1.146752894,22.75143067,1.1 ,22.8 ,1 ,23 
1.238320093,22.91674002,1.2 ,22.9 ,1 ,23 
1.307385513,23.03458213,1.3 ,23.0 ,1 ,23 
1.353616729,23.11012892,1.4 ,23.1 ,1 ,23 
1.399998839,23.18320312,1.4 ,23.2 ,1 ,23 
1.446532786,23.25375722,1.4 ,23.3 ,1 ,23 
1.49321965,23.3217394,1.5 ,23.3 ,1 ,23 
1.540060241,23.38710214,1.5 ,23.4 ,2 ,23 
1.587055235,23.44979147,1.6 ,23.4 ,2 ,23 
1.634205844,23.50976202,1.6 ,23.5 ,2 ,24 
1.681512746,23.56696414,1.7 ,23.6 ,2 ,24 
1.728976883,23.62134384,1.7 ,23.6 ,2 ,24 
1.776599201,23.6728536,1.8 ,23.7 ,2 ,24 
1.824380645,23.72144592,1.8 ,23.7 ,2 ,24 
1.87232189,23.76706682,1.9 ,23.8 ,2 ,24 
1.920424015,23.80966878,1.9 ,23.8 ,2 ,24 
1.96868783,23.84920214,2.0 ,23.8 ,2 ,24 
2.01711428,23.88561508,2.0 ,23.9 ,2 ,24 
2.065704309,23.91886007,2.1 ,23.9 ,2 ,24 
2.114458593,23.9488853,2.1 ,23.9 ,2 ,24 
2.163378076,23.97564325,2.2 ,24.0 ,2 ,24 
2.212464108,23.9990821,2.2 ,24.0 ,2 ,24 
2.261716959,24.01915435,2.3 ,24.0 ,2 ,24 
2.311137708,24.03580816,2.3 ,24.0 ,2 ,24 
2.360727436,24.04899386,2.4 ,24.0 ,2 ,24 
2.410486951,24.05866179,2.4 ,24.1 ,2 ,24 
2.460416795,24.06476013,2.5 ,24.1 ,2 ,24 
2.510518586,24.06724352,2.5 ,24.1 ,3 ,24 
2.560792595,24.06606013,2.6 ,24.1 ,3 ,24 
2.611239901,24.06115814,2.6 ,24.1 ,3 ,24 
2.661861584,24.0524922,2.7 ,24.1 ,3 ,24 
2.712658183,24.04000616,2.7 ,24.0 ,3 ,24 
2.76363078,24.02365684,2.8 ,24.0 ,3 ,24 
2.814780452,24.00339024,2.8 ,24.0 ,3 ,24 
2.866107741,23.9791567,2.9 ,24.0 ,3 ,24 
2.917613725,23.95090656,2.9 ,24.0 ,3 ,24 
2.969299216,23.91859229,3.0 ,23.9 ,3 ,24 
3.021165291,23.88216209,3.0 ,23.9 ,3 ,24 
3.073212762,23.84156627,3.1 ,23.8 ,3 ,24 
3.125442438,23.79675733,3.1 ,23.8 ,3 ,24 
3.177855129,23.74768129,3.2 ,23.7 ,3 ,24 
3.230451914,23.69429063,3.2 ,23.7 ,3 ,24 
3.283233604,23.63653569,3.3 ,23.6 ,3 ,24 
3.336201007,23.57436463,3.3 ,23.6 ,3 ,24 
3.389355205,23.50772996,3.4 ,23.5 ,3 ,24 
3.442697006,23.43658201,3.4 ,23.4 ,3 ,23 
3.496227491,23.3608711,3.5 ,23.4 ,3 ,23 
3.549947199,23.28054541,3.5 ,23.3 ,4 ,23 
3.60385694,23.19555527,3.6 ,23.2 ,4 ,23 
3.657958064,23.10585102,3.7 ,23.1 ,4 ,23 
3.712251381,23.01138514,3.7 ,23.0 ,4 ,23 
3.76673743,22.91210581,3.8 ,22.9 ,4 ,23 
3.82141756,22.80796336,3.8 ,22.8 ,4 ,23 
3.876292313,22.69890812,3.9 ,22.7 ,4 ,23 
3.931362498,22.58489043,3.9 ,22.6 ,4 ,23 
3.986629464,22.46586061,4.0 ,22.5 ,4 ,22 
4.042093751,22.34176901,4.0 ,22.3 ,4 ,22 
4.09775617,22.21256379,4.1 ,22.2 ,4 ,22 
4.153618069,22.07819744,4.2 ,22.1 ,4 ,22 
4.209679989,21.9386203,4.2 ,21.9 ,4 ,22 
4.265942739,21.79378053,4.3 ,21.8 ,4 ,22 
4.322407399,21.64363064,4.3 ,21.6 ,4 ,22 
4.37907505,21.48811879,4.4 ,21.5 ,4 ,21 
4.43594623,21.32719532,4.4 ,21.3 ,4 ,21 
4.493022019,21.16081056,4.5 ,21.2 ,4 ,21 
4.550302958,20.98891699,4.6 ,21.0 ,5 ,21 
4.607790666,20.81146064,4.6 ,20.8 ,5 ,21 
4.665485143,20.62839616,4.7 ,20.6 ,5 ,21 
4.723388008,20.43966955,4.7 ,20.4 ,5 ,20 
4.781499802,20.24523547,4.8 ,20.2 ,5 ,20 
4.839821604,20.04503993,4.8 ,20.0 ,5 ,20 
4.898354494,19.83903543,4.9 ,19.8 ,5 ,20 
4.957098471,19.62717013,5.0 ,19.6 ,5 ,20 
5.016055696,19.40939653,5.0 ,19.4 ,5 ,19 
5.104891305,19.07154794,5.1 ,19.1 ,5 ,19 
5.224091178,18.59993549,5.2 ,18.6 ,5 ,19 
5.344158077,18.10378717,5.3 ,18.1 ,5 ,18 
5.46509794,17.58270781,5.5 ,17.6 ,5 ,18 
5.586918865,17.03629791,5.6 ,17.0 ,6 ,17 
5.709627332,16.46415795,5.7 ,16.5 ,6 ,16 
5.833230898,15.86588845,5.8 ,15.9 ,6 ,16 
5.895370564,15.5568312,5.9 ,15.6 ,6 ,16 
5.955378443,15.80472803,6.0 ,15.8 ,6 ,16 
6.074245758,16.28301971,6.1 ,16.3 ,6 ,16 
6.191607924,16.73833899,6.2 ,16.7 ,6 ,17 
6.307496254,17.17112638,6.3 ,17.2 ,6 ,17 
6.421942601,17.58181811,6.4 ,17.6 ,6 ,18 
6.534977735,17.97085039,6.5 ,18.0 ,7 ,18 
6.64663351,18.33865943,6.6 ,18.3 ,7 ,18 
6.756940698,18.6856836,6.8 ,18.7 ,7 ,19 
6.865931152,19.01235695,6.9 ,19.0 ,7 ,19 
6.94682856,19.2442729,6.9 ,19.2 ,7 ,19 
7.000364984,19.39275352,7.0 ,19.4 ,7 ,19 
7.053589904,19.53639046,7.1 ,19.5 ,7 ,20 
7.1065071,19.67524202,7.1 ,19.7 ,7 ,20 
7.159120351,19.80936003,7.2 ,19.8 ,7 ,20 
7.211433976,19.9388028,7.2 ,19.9 ,7 ,20 
7.263451754,20.06362214,7.3 ,20.1 ,7 ,20 
7.315177465,20.18387206,7.3 ,20.2 ,7 ,20 
7.366614886,20.29961084,7.4 ,20.3 ,7 ,20 
7.417768338,20.41088817,7.4 ,20.4 ,7 ,20 
7.468641599,20.51776235,7.5 ,20.5 ,7 ,21 
7.519238448,20.62028736,7.5 ,20.6 ,8 ,21 
7.569563204,20.71851719,7.6 ,20.7 ,8 ,21 
7.619619106,20.81250582,7.6 ,20.8 ,8 ,21 
7.669411014,20.90230941,7.7 ,20.9 ,8 ,21 
7.718941626,20.98797978,7.7 ,21.0 ,8 ,21 
7.768215802,21.0695774,7.8 ,21.1 ,8 ,21 
7.81723732,21.14714977,7.8 ,21.1 ,8 ,21 
7.866009419,21.22075736,7.9 ,21.2 ,8 ,21 
7.914536959,21.29044983,7.9 ,21.3 ,8 ,21 
7.962823718,21.3562855,8.0 ,21.4 ,8 ,21 
8.010872936,21.41831834,8.0 ,21.4 ,8 ,21 
8.058688932,21.47660236,8.1 ,21.5 ,8 ,21 
8.106276024,21.53119152,8.1 ,21.5 ,8 ,22 
8.153637451,21.58214198,8.2 ,21.6 ,8 ,22 
8.200777534,21.62950773,8.2 ,21.6 ,8 ,22 
8.24770005,21.67334059,8.2 ,21.7 ,8 ,22 
8.294408779,21.71370102,8.3 ,21.7 ,8 ,22 
8.340908039,21.7506387,8.3 ,21.8 ,8 ,22 
8.387201611,21.78421194,8.4 ,21.8 ,8 ,22 
8.433293272,21.81447039,8.4 ,21.8 ,8 ,22 
8.479186802,21.84147452,8.5 ,21.8 ,8 ,22 
8.52488652,21.865274,8.5 ,21.9 ,9 ,22 
8.570396205,21.88592714,8.6 ,21.9 ,9 ,22 
8.615719636,21.90348577,8.6 ,21.9 ,9 ,22 
8.660861131,21.91800603,8.7 ,21.9 ,9 ,22 
